,Initialdate,Area_Km2,CountryName,Continent,Region
0,2022-01-01,0.0,Nepal,Asia,Southern Asia
1,2022-01-02,0.0,Nepal,Asia,Southern Asia
2,2022-01-03,0.0,Nepal,Asia,Southern Asia
3,2022-01-04,0.0,Nepal,Asia,Southern Asia
4,2022-01-05,0.0,Nepal,Asia,Southern Asia
5,2022-01-06,0.0,Nepal,Asia,Southern Asia
6,2022-01-07,0.0,Nepal,Asia,Southern Asia
7,2022-01-08,0.0,Nepal,Asia,Southern Asia
8,2022-01-09,0.0,Nepal,Asia,Southern Asia
9,2022-01-10,0.0,Nepal,Asia,Southern Asia
10,2022-01-11,0.0,Nepal,Asia,Southern Asia
11,2022-01-12,0.0,Nepal,Asia,Southern Asia
12,2022-01-13,0.0,Nepal,Asia,Southern Asia
13,2022-01-14,2.142755492,Nepal,Asia,Southern Asia
14,2022-01-15,2.142755492,Nepal,Asia,Southern Asia
15,2022-01-16,2.142755492,Nepal,Asia,Southern Asia
16,2022-01-17,0.0,Nepal,Asia,Southern Asia
17,2022-01-18,0.0,Nepal,Asia,Southern Asia
18,2022-01-19,0.0,Nepal,Asia,Southern Asia
19,2022-01-20,0.0,Nepal,Asia,Southern Asia
20,2022-01-21,0.0,Nepal,Asia,Southern Asia
21,2022-01-22,0.0,Nepal,Asia,Southern Asia
22,2022-01-23,0.0,Nepal,Asia,Southern Asia
23,2022-01-24,0.0,Nepal,Asia,Southern Asia
24,2022-01-25,0.0,Nepal,Asia,Southern Asia
25,2022-01-26,0.0,Nepal,Asia,Southern Asia
26,2022-01-27,0.0,Nepal,Asia,Southern Asia
27,2022-01-28,0.0,Nepal,Asia,Southern Asia
28,2022-01-29,0.0,Nepal,Asia,Southern Asia
29,2022-01-30,0.0,Nepal,Asia,Southern Asia
30,2022-01-31,0.0,Nepal,Asia,Southern Asia
31,2022-02-01,0.0,Nepal,Asia,Southern Asia
32,2022-02-02,0.0,Nepal,Asia,Southern Asia
33,2022-02-03,0.0,Nepal,Asia,Southern Asia
34,2022-02-04,0.0,Nepal,Asia,Southern Asia
35,2022-02-05,0.0,Nepal,Asia,Southern Asia
36,2022-02-06,0.0,Nepal,Asia,Southern Asia
37,2022-02-07,0.0,Nepal,Asia,Southern Asia
38,2022-02-08,0.0,Nepal,Asia,Southern Asia
39,2022-02-09,0.0,Nepal,Asia,Southern Asia
40,2022-02-10,0.0,Nepal,Asia,Southern Asia
41,2022-02-11,0.0,Nepal,Asia,Southern Asia
42,2022-02-12,0.0,Nepal,Asia,Southern Asia
43,2022-02-13,0.0,Nepal,Asia,Southern Asia
44,2022-02-14,2.357962761,Nepal,Asia,Southern Asia
45,2022-02-15,2.357962761,Nepal,Asia,Southern Asia
46,2022-02-16,2.357962761,Nepal,Asia,Southern Asia
47,2022-02-17,2.357962761,Nepal,Asia,Southern Asia
48,2022-02-18,2.357962761,Nepal,Asia,Southern Asia
49,2022-02-19,2.357962761,Nepal,Asia,Southern Asia
50,2022-02-20,0.0,Nepal,Asia,Southern Asia
51,2022-02-21,0.0,Nepal,Asia,Southern Asia
52,2022-02-22,0.0,Nepal,Asia,Southern Asia
53,2022-02-23,0.0,Nepal,Asia,Southern Asia
54,2022-02-24,0.0,Nepal,Asia,Southern Asia
55,2022-02-25,0.0,Nepal,Asia,Southern Asia
56,2022-02-26,2.143114588,Nepal,Asia,Southern Asia
57,2022-02-27,2.143114588,Nepal,Asia,Southern Asia
58,2022-02-28,2.143114588,Nepal,Asia,Southern Asia
59,2022-03-01,4.93036707,Nepal,Asia,Southern Asia
60,2022-03-02,4.93036707,Nepal,Asia,Southern Asia
61,2022-03-03,4.93036707,Nepal,Asia,Southern Asia
62,2022-03-04,4.501754818,Nepal,Asia,Southern Asia
63,2022-03-05,4.501754818,Nepal,Asia,Southern Asia
64,2022-03-06,4.501754818,Nepal,Asia,Southern Asia
65,2022-03-07,6.859249439,Nepal,Asia,Southern Asia
66,2022-03-08,2.357494621,Nepal,Asia,Southern Asia
67,2022-03-09,2.357494621,Nepal,Asia,Southern Asia
68,2022-03-10,0.0,Nepal,Asia,Southern Asia
69,2022-03-11,0.0,Nepal,Asia,Southern Asia
70,2022-03-12,0.0,Nepal,Asia,Southern Asia
71,2022-03-13,31.716795076,Nepal,Asia,Southern Asia
72,2022-03-14,40.074102947,Nepal,Asia,Southern Asia
73,2022-03-15,40.074102947,Nepal,Asia,Southern Asia
74,2022-03-16,48.859848541,Nepal,Asia,Southern Asia
75,2022-03-17,48.859848541,Nepal,Asia,Southern Asia
76,2022-03-18,47.359653205,Nepal,Asia,Southern Asia
77,2022-03-19,47.359653205,Nepal,Asia,Southern Asia
78,2022-03-20,68.36105333799999,Nepal,Asia,Southern Asia
79,2022-03-21,87.656223066,Nepal,Asia,Southern Asia
80,2022-03-22,88.086334148,Nepal,Asia,Southern Asia
81,2022-03-23,108.65925949400001,Nepal,Asia,Southern Asia
82,2022-03-24,102.444743919,Nepal,Asia,Southern Asia
83,2022-03-25,78.435415249,Nepal,Asia,Southern Asia
84,2022-03-26,53.146876902,Nepal,Asia,Southern Asia
85,2022-03-27,53.146876902,Nepal,Asia,Southern Asia
86,2022-03-28,4.50032587,Nepal,Asia,Southern Asia
87,2022-03-29,1.285830584,Nepal,Asia,Southern Asia
88,2022-03-30,1.285830584,Nepal,Asia,Southern Asia
89,2022-03-31,0.0,Nepal,Asia,Southern Asia
90,2022-04-01,0.0,Nepal,Asia,Southern Asia
91,2022-04-02,0.0,Nepal,Asia,Southern Asia
92,2022-04-03,0.0,Nepal,Asia,Southern Asia
93,2022-04-04,114.4604119,Nepal,Asia,Southern Asia
94,2022-04-05,114.4604119,Nepal,Asia,Southern Asia
95,2022-04-06,114.4604119,Nepal,Asia,Southern Asia
96,2022-04-07,114.4604119,Nepal,Asia,Southern Asia
97,2022-04-08,114.4604119,Nepal,Asia,Southern Asia
98,2022-04-09,116.81818276,Nepal,Asia,Southern Asia
